epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,291.621,0.38174,0.66733,2.79183,0.89249,0,0.0049,0.99757,0.73043,0.67784,0.00488,0.99272,0.72915,0.72256,0.31615,0.30038,3.01846,0.77453,0,0.000408333,0.000408333,0.000408333
2,564.361,0.45026,0.59296,1.68269,0.87226,0,0.82343,0.69895,0.82473,0.78953,0.82343,0.69895,0.82419,0.81783,0.28063,0.44053,2.33275,0.77224,0,0.00077055,0.00077055,0.00077055
3,888.034,0.42717,0.51062,1.31374,0.86534,0,0.54296,0.66846,0.76385,0.71712,0.54296,0.66846,0.76378,0.69309,0.36304,0.73675,1.99615,0.80059,0,0.00107777,0.00107777,0.00107777
4,1178.76,0.39333,0.45602,1.08434,0.8559,0,0.94828,0.96924,0.98669,0.94052,0.94828,0.96924,0.98662,0.98047,0.30489,0.35253,1.05133,0.77591,0,0.0010025,0.0010025,0.0010025
5,1499.63,0.37584,0.487,0.98891,0.84625,0,0.85683,0.85522,0.95153,0.9218,0.85683,0.85522,0.95127,0.94446,0.27806,0.30974,1.33862,0.76239,0,0.00092,0.00092,0.00092
6,1843.36,0.33051,0.42772,1.58409,0.81987,0,0.96738,0.96107,0.9872,0.94938,0.96738,0.96107,0.98668,0.96859,0.28075,0.51293,0.93265,0.76314,0,0.0008375,0.0008375,0.0008375
7,2120.59,0.32901,0.46114,1.29533,0.8143,0,0.98812,0.96476,0.98981,0.9631,0.98812,0.96476,0.98971,0.96102,0.27058,0.49285,0.83721,0.76351,0,0.000755,0.000755,0.000755
8,2383.46,0.30925,0.4158,1.15564,0.81751,0,0.94034,0.95733,0.98606,0.96273,0.94034,0.95733,0.98605,0.98018,0.27046,0.38828,0.88488,0.76129,0,0.0006725,0.0006725,0.0006725
9,2639.23,0.28738,0.38241,1.01062,0.79851,0,0.98894,0.98594,0.98933,0.97092,0.98894,0.98594,0.9893,0.98462,0.24608,0.33642,0.68965,0.75682,0,0.00059,0.00059,0.00059
10,2901.46,0.28396,0.37465,0.96362,0.7932,0,0.92404,0.92541,0.96975,0.95601,0.92404,0.92541,0.96966,0.96518,0.22507,0.36645,0.81398,0.75278,0,0.0005075,0.0005075,0.0005075
11,3206.54,0.26799,0.32775,0.89074,0.79158,0,0.97506,0.98363,0.98925,0.96952,0.97506,0.98363,0.98916,0.98559,0.23523,0.28586,0.58263,0.75711,0,0.000425,0.000425,0.000425
12,3485.1,0.24701,0.29763,0.80159,0.79432,0,0.97189,0.98379,0.98991,0.97919,0.97189,0.98379,0.98979,0.9866,0.21619,0.26572,0.56214,0.75368,0,0.0003425,0.0003425,0.0003425
13,3747.37,0.2368,0.31956,0.75959,0.79471,0,0.99778,0.98867,0.99018,0.98002,0.99778,0.98867,0.99,0.98669,0.21902,0.29558,0.51048,0.7485,0,0.00026,0.00026,0.00026
14,4002.98,0.23056,0.32902,0.71434,0.77216,0,0.99849,0.98829,0.99047,0.98107,0.99849,0.98829,0.98996,0.9875,0.18997,0.26559,0.47279,0.74527,0,0.0001775,0.0001775,0.0001775
15,4259.48,0.21302,0.36479,0.68856,0.78353,0,0.99839,0.98765,0.99053,0.98308,0.99839,0.98765,0.98996,0.98758,0.18156,0.24905,0.46946,0.74397,0,9.5e-05,9.5e-05,9.5e-05
