epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,265.481,0.35742,0.73811,3.00101,0.83182,0,0.74061,0.33203,0.60703,0.57467,0.74061,0.33203,0.60641,0.60031,0.31613,0.37141,2.86834,0.77432,0,0.000408333,0.000408333,0.000408333
2,528.897,0.35952,0.45744,2.05953,0.832,0,0.81101,0.81128,0.89672,0.85219,0.81101,0.81128,0.89554,0.88756,0.30908,0.45481,1.45745,0.78125,0,0.000743325,0.000743325,0.000743325
3,805.004,0.34875,0.47927,1.66127,0.82135,0,0.77011,0.82038,0.94896,0.89849,0.76816,0.81796,0.94659,0.93537,0.32889,0.36258,1.4682,0.78138,0,0.000995817,0.000995817,0.000995817
4,1203.12,0.3353,0.47927,1.49075,0.81988,0,0.95518,0.96335,0.97734,0.9363,0.95518,0.96335,0.97698,0.97257,0.29731,0.36974,0.93797,0.76994,0,0.00087875,0.00087875,0.00087875
5,1636.52,0.34013,0.45696,1.25359,0.81842,0,0.95223,0.94627,0.9872,0.95862,0.95223,0.94627,0.98494,0.97906,0.28349,0.33532,0.97092,0.7668,0,0.000755,0.000755,0.000755
6,2029.72,0.29647,0.33963,1.12937,0.81067,0,0.98629,0.98738,0.98994,0.97144,0.98629,0.98738,0.98893,0.98432,0.25732,0.32892,0.73477,0.76168,0,0.00063125,0.00063125,0.00063125
7,2441.6,0.28271,0.35141,1.01594,0.80527,0,0.98751,0.9876,0.98907,0.97179,0.98751,0.9876,0.989,0.98475,0.23218,0.36797,0.6532,0.75395,0,0.0005075,0.0005075,0.0005075
8,3999.81,0.2774,0.37708,0.92352,0.80197,0,0.98476,0.98816,0.99033,0.97625,0.98476,0.98816,0.98991,0.98661,0.2225,0.3,0.60507,0.75244,0,0.00038375,0.00038375,0.00038375
9,5844.15,0.25443,0.3813,0.87756,0.78989,0,0.99781,0.96662,0.99001,0.98305,0.99781,0.96662,0.99,0.98608,0.20255,0.28102,0.56456,0.74889,0,0.00026,0.00026,0.00026
10,6203.27,0.23544,0.31763,0.82402,0.79282,0,0.99726,0.98608,0.99074,0.98386,0.99726,0.98608,0.98991,0.98657,0.19011,0.30037,0.54539,0.7461,0,0.00013625,0.00013625,0.00013625
